city_name,citycode,nom_insee,lat_insee,lon_insee,code_dept,code_region,population_insee,surface_km2,densite_pop_km2,revenu_median_uc,taux_sans_voiture,voitures_par_menage,part_65plus,distance_dom_trav_med_km,nb_gares,nb_trajets_total,nb_trajets_moy_arret,nb_trajets_max_arret,nb_lignes_total,premier_depart_matin,dernier_depart_ville,amplitude_moy_h,amplitude_max_h,amplitude_min_h,service_weekend,service_7j_sur_7,dist_gare_min_m,has_gare,accessibilite_ord,dernier_depart_apres_minuit
Plombières-lès-Dijon,21485,Plombières-lès-Dijon,47.3368,4.9473,21,27,2497.0,14.960799999999999,166.90283942035185,23480.0,0.14752511615710506,1.2019557624087294,0.2172073198633066,6.421129245026806,0,0,0.0,0,0,,,,,,False,False,1876.3728745020794,False,0,0
Pontailler-sur-Saône,21496,Pontailler-sur-Saône,47.3019,5.415,21,27,1277.0,13.236500000000001,96.4756544403732,21600.0,0.1184,1.3088,0.23501945525291829,13.46551611023048,0,0,0.0,0,0,,,,,,False,False,11729.50424932806,False,0,0
Pouilly-en-Auxois,21501,Pouilly-en-Auxois,47.2627,4.5563,21,27,1533.0,10.1768,150.63674239446584,23420.0,0.23850807079302033,1.0820590023444567,0.2856508869441139,0.0,0,0,0.0,0,0,,,,,,False,False,18591.02767211039,False,0,0
Quetigny,21515,Quetigny,47.3209,5.1123,21,27,8971.0,8.3063,1080.023596547199,22670.0,0.16757687112238306,1.1447890016146527,0.2372704940983109,6.159817064289454,0,0,0.0,0,0,,,,,,False,False,4309.957338478842,False,0,0
Remilly-sur-Tille,21521,Remilly-sur-Tille,47.3082,5.2369,21,27,1015.0,9.6998,104.6413328109858,27210.0,0.031697455467580876,1.648724300894107,0.13119876310273595,15.653566617526973,0,0,0.0,0,0,,,,,,False,False,7174.145649184881,False,0,0
Rouvres-en-Plaine,21532,Rouvres-en-Plaine,47.2389,5.138,21,27,1303.0,14.7647,88.25103117570964,28060.0,0.022132627459621215,1.599324408164828,0.16308644451725837,13.062350805644552,0,0,0.0,0,0,,,,,,False,False,3000.4336342022457,False,0,0
Ruffey-lès-Echirey,21535,Ruffey-lès-Echirey,47.3684,5.0818,21,27,1385.0,11.247,123.14394949764382,27650.0,0.047420246347966225,1.5573278875826435,0.19916796763743802,5.516806547838349,1,948,474.0,482,4,05:33:00,20:22:00,14.4,14.72,14.07,True,True,307.4217900179394,True,2,0
Saint-Apollinaire,21540,Saint-Apollinaire,47.3367,5.0939,21,27,7544.0,10.2149,738.5290115419632,25330.0,0.10474254621703322,1.2530873317279723,0.24077970140963986,4.680182609198686,0,0,0.0,0,0,,,,,,False,False,3302.697109458469,False,0,0
Saint-Julien,21555,Saint-Julien,47.3987,5.1427,21,27,1864.0,16.76,111.21718377088304,27690.0,0.05587400347272805,1.600989486902729,0.2512819979077536,11.154944475607792,1,952,317.3,486,5,05:33:00,20:12:00,14.3,14.55,14.17,True,True,1340.606853684888,True,2,0
Saint-Usage,21577,Saint-Usage,47.1086,5.2545,21,27,1353.0,9.4261,143.537624256055,21900.0,0.0966905383546548,1.3955591530698594,0.19885944748934437,14.160500616492541,1,962,481.0,522,4,05:32:00,20:42:00,14.95,15.13,14.77,True,True,1246.9184913422864,True,2,0
Saulieu,21584,Saulieu,47.2831,4.2271,21,27,2216.0,32.6344,67.9038070257152,20760.0,0.20817575134372807,1.0903923182090387,0.35280971665312033,0.0,0,0,0.0,0,0,,,,,,False,False,33469.6850157196,False,0,0
Saulon-la-Chapelle,21585,Saulon-la-Chapelle,47.2118,5.0925,21,27,1031.0,10.0075,103.02273295028728,24490.0,0.08333333333333333,1.4416666666666667,0.22524271844660193,11.112645283312174,1,740,370.0,520,3,05:34:00,20:10:00,14.54,14.6,14.47,True,True,1659.7209296135304,True,2,0
