row_id,city_name,lat_insee,lon_insee,cluster,cluster_nom,niveau_fragilite,has_gare,accessibilite_ord,dist_gare_min_m,nb_trajets_total,nb_lignes_total,amplitude_moy_h,revenu_median_uc,voitures_par_menage,taux_sans_voiture,part_65plus,distance_dom_trav_med_km,population,densite_pop_km2
3656,Chimilin,45.5723,5.5884,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3485.072461276195,0.0,0.0,,23500.0,1.5140889606404864,0.0377196613543275,0.1780893019825508,7.640152811046818,1417.0,146.01172627695857
3657,Chirens,45.4148,5.5587,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,5402.592491379447,0.0,0.0,,26100.0,1.5693877551020408,0.0285714285714285,0.1948207171314741,10.264625976829189,2546.0,144.9473384571591
6097,Chiry-Ourscamp,49.5282,2.9661,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,1061.173914095133,0.0,0.0,,22770.0,1.4329896907216495,0.0597938144329896,0.2064923354373309,15.8666145666374,1093.0,81.81750130997828
3883,Choisey,47.0585,5.4522,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,4990.050836209834,0.0,0.0,,23670.0,1.3581794379930503,0.0811328286429218,0.2729256014196187,4.170004012688785,1021.0,120.82268294991952
7808,Choisy,45.9985,6.0509,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,8618.727388801906,0.0,0.0,,33880.0,1.6173936363310275,0.0283883729545663,0.1669394645529712,9.610800465272147,1731.0,104.90845510027212
6098,Choisy-au-Bac,49.4422,2.8956,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3632.3054468462815,0.0,0.0,,25830.0,1.3910850498633898,0.0651275618282941,0.2456854211916302,5.490810996131794,3449.0,216.403769654532
3658,Chonas-l'Amballan,45.4647,4.8041,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3118.91228019194,0.0,0.0,,28690.0,1.5909315819340963,0.025681807406062,0.1908989230046925,9.245980008294763,1729.0,233.07855111147063
4971,Chouilly,49.0146,4.0013,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3795.2089109469744,0.0,0.0,,27370.0,1.5102880658436213,0.051440329218107,0.2024482109227872,5.985687729252765,1064.0,66.18767689962988
3659,Chuzelles,45.577,4.8792,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,4187.25741486106,0.0,0.0,,28900.0,1.628560829402622,0.0252222491212,0.1908891502137119,10.856809677515384,2366.0,177.19395473540732
7414,Châlonvillars,47.6378,6.7766,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,5306.410230400667,0.0,0.0,,26340.0,1.5853165038350108,0.0404018402202016,0.2159551586437685,4.906108508082396,1264.0,165.98382183002417
32,Château-Gaillard,45.9723,5.3091,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3239.3140778503657,0.0,0.0,,25170.0,1.576344247769669,0.0421825181715927,0.1269692666442354,7.997603226768994,2443.0,152.04321686851966
8168,Château-Landon,48.149,2.6976,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,4561.357476958805,0.0,0.0,,22160.0,1.2652173913043478,0.1260869565217391,0.2758730158730159,12.805404753920374,3149.0,106.71429103959171
9225,Château-Larcher,46.4126,0.302,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3231.2326325493927,0.0,0.0,,23520.0,1.5895711249690625,0.0224329805579733,0.1761068354311574,14.392562427809,1034.0,66.92123487152935
8390,Châteaufort,48.7371,2.0956,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3976.84874809849,0.0,0.0,,37760.0,1.4700099692241633,0.1139053467600856,0.1763266384105013,7.624865194590789,1564.0,319.7121772726344
4124,Châteauneuf,45.5185,4.635,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,2301.8212733507753,0.0,0.0,,26200.0,1.576346680754552,0.0372463557603791,0.2210384069013641,14.214604390221472,1724.0,127.1958624454954
